Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Altair,α,53,86,,187642,97649,19h 50m 46.68s,+08° 52′ 02.6″,0.76,2.2,17,A7IV-V,"Atair, Al Nesr Al Tair, Vulture Volans;[1] 12th brightest star; nearby; has 
two optical components; δ Sct variable, Δ*V* = 0.004m, *P* = 0.06342 d"
γ Aql,γ,50,,,186791,97278,19h 46m 15.57s,+10° 36′ 47.8″,2.72,-3.03,460,K3II,"Tarazed, Tarazad, Reda, Menkib al Nesr, Humerus Vulturis;[1] double star; 
suspected variable"
ζ Aql,ζ,17,,,177724,93747,19h 05m 24.61s,+13° 51′ 49.4″,2.99,0.96,83,A0Vn,"Deneb el Okab, Denebokab Australis, Woo, Yuë (吳越), Dzeneb al Tair, Cauda 
(Vulturis) Volantis;[1] triple star"
θ Aql,θ,65,117,,191692,99473,20h 11m 18.26s,−00° 49′ 17.3″,3.24,-1.48,287,B9.5III,"Tseen Foo, Thanih Ras al Akab, Secunda Capitis Vulturis;[1] spectroscopic 
binary; suspected variable"
δ Aql,δ,30,46,,182640,95501,19h 25m 29.75s,+03° 06′ 52.5″,3.36,2.43,50,F0IV,"Denebokab, Song, Sung, Djenubi Menkib al Nesr, Australior Humerus Vulturis;
[1] binary star; suspected variable"
λ Aql,λ,16,19,,177756,93805,19h 06m 14.95s,−04° 52′ 56.4″,3.43,0.51,125,B9Vn,Al Thalimain
β Aql,β,60,98,,188512,98036,19h 55m 18.77s,+06° 24′ 28.6″,3.71,3.03,45,G8IVvar,"Alshain, Alschain, Alschairn, Unuk al Ghyrab, Collum Corvi;[1] binary star; 
suspected variable; triple star; suspected variable"
η Aql,η,55,89,,187929,97804,19h 52m 28.36s,+01° 00′ 20.4″,3.87,-3.91,1173,F6Ib-G4Ib,"Bezek; Cepheid variable, *V*max = 3.48m, *V*min = 4.39m, *P* = 7.17664 d"
ε Aql,ε,13,,,176411,93244,18h 59m 37.39s,+15° 04′ 06.5″,4.02,0.65,154,K2III,"Deneb el Okab, Denebokab Borealis, Woo, Yuë (吳越); triple star"
12 Aql,i,12,9,,176678,93429,19h 01m 40.84s,−05° 44′ 20.5″,4.02,0.73,149,K1IIIvar,Bered; suspected variable
71 Aql,l,71,146,,196574,101847,20h 38m 20.27s,−01° 06′ 18.3″,4.31,-1.04,384,G8III SB,spectroscopic binary
ι Aql,ι,41,64,,184930,96468,19h 36m 43.28s,−01° 17′ 11.6″,4.36,-0.51,307,B5III,Al Thalimain; double star
μ Aql,μ,38,58,,184406,96229,19h 34m 05.23s,+07° 22′ 45.5″,4.45,1.8,111,K3III,multiple star; suspected variable
ν Aql,ν,32,47,,182835,95585,19h 26m 31.09s,+00° 20′ 18.9″,4.64,-8.12,11643,F2Ib,double star; suspected variable
ξ Aql,ξ,59,94,,188310,97938,19h 54m 14.882s,+08° 27′ 41.23″,4.722,0.74,204,G9IIIb,"Libertas,[2] has a planet (b)"
69 Aql,,69,141,,195135,101101,20h 29m 38.96s,−02° 53′ 07.7″,4.91,1.07,191,K2III,
70 Aql,,70,144,,196321,101692,20h 36m 43.63s,−02° 32′ 59.7″,4.91,-4.24,2203,K5II,
κ Aql,κ,39,63,,184915,96483,19h 36m 53.45s,−07° 01′ 38.9″,4.93,-3.32,1455,B0.5III,
26 Aql,f,26,38,,181391,95066,19h 20m 32.84s,−05° 24′ 57.1″,4.98,1.61,154,G8III-IV...,spectroscopic binary
4 Aql,,4,2,,173370,91975,18h 44m 49.93s,+02° 03′ 36.3″,5.02,-0.78,472,B9V,
36 Aql,e,36,54,,183630,95937,19h 30m 39.82s,−02° 47′ 19.9″,5.03,-0.91,502,M1IIIvar,suspected variable
18 Aql,,18,,Y,178125,93867,19h 06m 58.60s,+11° 04′ 16.7″,5.07,-0.89,507,B8III,Y Aql; double star; eclipsing binary
23 Aql,,23,35,,180972,94885,19h 18m 32.49s,+01° 05′ 06.3″,5.1,-0.24,381,K2II-IIIvar,triple star
37 Aql,,37,59,,184492,96327,19h 35m 07.25s,−10° 33′ 37.6″,5.12,-0.55,444,G8III,
ο Aql,ο,54,,,187691,97675,19h 51m 01.50s,+10° 24′ 57.8″,5.12,3.68,63,F8V,multiple star system
21 Aql,,21,29,V1288,179761,94477,19h 13m 42.70s,+02° 17′ 37.4″,5.14,-1.33,640,B8II-IIIp(Hg:),"V1288 Aql; double star; α2 CVn variable, *V*max = 5.06m, *V*min = 5.16m, *P* 
= 1.73 d"
31 Aql,b,31,,,182572,95447,19h 24m 57.77s,+11° 56′ 34.3″,5.17,4.27,49,G8IVvar,triple star; suspected variable
σ Aql,σ,44,68,,185507,96665,19h 39m 11.64s,+05° 23′ 52.0″,5.18,-1.42,682,B3V + B3V,"β Lyr variable, Δ*V* = 0.2m, *P* = 1.95026 d"
19 Aql,,19,24,,178596,94068,19h 08m 59.92s,+06° 04′ 24.2″,5.23,2.03,142,F0III-IV,
11 Aql,,11,,,176303,93203,18h 59m 05.73s,+13° 37′ 21.2″,5.27,1.88,155,F8V,triple star; suspected variable
ω1 Aql,ω1,25,,,180868,94834,19h 17m 49.00s,+11° 35′ 43.4″,5.28,-0.28,422,F0IV,
χ Aql A,χ,47,,,186203,96957,19h 42m 34.01s,+11° 49′ 35.8″,5.28,-1.53,751,F3V:+...,multiple star system
φ Aql,φ,61,,,188728,98103,19h 56m 14.23s,+11° 25′ 25.4″,5.28,1.28,206,A1IV,spectroscopic binary; suspected variable
132 G. Aql,,,132,,194013,100541,20h 23m 10.71s,+05° 20′ 35.1″,5.3,0.91,246,G8III-IV,
FF Aql,,,,FF,176155,93124,18h 58m 14.75s,+17° 21′ 39.4″,5.33,-4.07,2470,F5Ia-F8Ia,"double star; Cepheid variable, *V*max = 5.18m, *V*min = 5.68m, *P* = 
4.47092 d"
20 Aql,,20,28,,179406,94385,19h 12m 40.70s,−07° 56′ 22.2″,5.35,-2.51,1216,B3V,
51 Aql,,51,82,,187532,97650,19h 50m 46.80s,−10° 45′ 48.9″,5.38,3.27,86,F0V,binary star
14 Aql,g,14,11,,176984,93526,19h 02m 54.49s,−03° 41′ 56.4″,5.4,-0.53,499,A1V,double star
15 Aql,h,15,15,,177463,93717,19h 04m 57.66s,−04° 01′ 52.9″,5.4,0.41,325,K1III,double star; suspected variable
66 Aql,,66,123,,192107,99631,20h 13m 13.87s,−01° 00′ 33.4″,5.44,-1.74,888,K5III,
42 Aql,,42,65,,185124,96556,19h 37m 47.26s,−04° 38′ 51.0″,5.45,2.92,105,F3IV,
27 Aql,d,27,40,,181440,95073,19h 20m 35.68s,−00° 53′ 31.8″,5.46,-0.51,509,B9III,
τ Aql,τ,63,107,,190327,98823,20h 04m 08.31s,+07° 16′ 40.6″,5.51,-0.53,527,K0III,
28 Aql,A,28,,V1208,181333,94982,19h 19m 39.35s,+12° 22′ 28.7″,5.53,0.39,347,F0III,"V1208 Aql; triple star; δ Sct variable, *V*max = 5.51m, *V*min = 5.56m, *P* 
= 0.149663 d"
,,,,,183492,95822,19h 29m 22.12s,+14° 35′ 45.9″,5.57,0.85,286,K0III,
62 Ser,,-62,69,,175515,92872,18h 55m 27.44s,+06° 36′ 55.8″,5.58,0.81,293,G9III,"69 G. Aquilae, suspected variable"
HD 180262,,,,,180262,94624,19h 15m 20.09s,+15° 05′ 01.2″,5.58,-0.79,613,G8II-III,double star
22 Aql,,22,32,,180482,94727,19h 16m 31.02s,+04° 50′ 05.4″,5.59,-0.53,546,A3IV,
58 Aql,,58,95,,188350,97980,19h 54m 44.77s,+00° 16′ 25.2″,5.6,0.48,345,A0III,
V1291 Aql,,,90,V1291,188041,97871,19h 53m 18.72s,−03° 06′ 52.2″,5.63,0.99,277,A5p(Sr-Cr-Eu),"α2 CVn variable, *V*max = 5.61m, *V*min = 5.67m, *P* = 224.5 d"
45 Aql,,45,70,,185762,96807,19h 40m 43.31s,−00° 37′ 16.7″,5.64,0.93,285,A3IV,double star
HD 180555,,,,,180555,94720,19h 16m 26.78s,+14° 32′ 40.6″,5.65,0.36,372,B9.5V,binary star
62 Aql,,62,106,,190299,98844,20h 04m 23.15s,−00° 42′ 32.5″,5.67,-0.59,582,K4III,
π Aql B,π,52,,,187260,,19h 48m 42.10s,+11° 48′ 55.0″,5.7,,,,component of the π Aql system
57 Aql A,,57,93,,188293,97966,19h 54m 37.65s,−08° 13′ 38.0″,5.7,0.64,335,B7Vn,double star
