Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
,,,,27971,20704,04h 26m 06.26s,+31° 26′ 21.1″,5.29,0.93,243,K1III,
36 Per,,36,,21770,16499,03h 32m 26.30s,+46° 03′ 25.4″,5.3,2.49,119,F4IIIvar,
59 Per,,59,,29722,21928,04h 42m 54.30s,+43° 21′ 55.0″,5.3,0.7,271,A1Vn,
V575 Per,,,V575,20809,15770,03h 23m 13.18s,+49° 12′ 48.0″,5.32,-1.09,625,B5V,
20 Per,,20,,17904,13490,02h 53m 42.58s,+38° 20′ 15.6″,5.34,1.05,235,F4Vvar,
,,,,24504,18396,03h 55m 58.16s,+47° 52′ 17.3″,5.39,-1.68,845,B6V,
14 Per,,14,,16901,12768,02h 44m 05.16s,+44° 17′ 49.4″,5.43,-1.2,692,G0Ib,
,,,,27084,20156,04h 19m 13.18s,+50° 02′ 55.8″,5.46,0.96,259,A7V,
,,,,18474,13965,02h 59m 49.78s,+47° 13′ 14.3″,5.47,-0.69,557,G4p,
V396 Per,,,V396,21699,16470,03h 32m 08.58s,+48° 01′ 24.7″,5.47,-0.8,585,B8IIIp Mn,SX Ari variable
30 Per,,30,,20315,15338,03h 17m 47.33s,+44° 01′ 30.3″,5.49,-0.99,644,B8V...,
,,,,24640,18434,03h 56m 28.69s,+35° 04′ 51.3″,5.49,-1.88,970,B1.5V,
50 Per,,50,V582,25998,19335,04h 08m 36.49s,+38° 02′ 24.8″,5.52,3.87,70,F7V,V582 Per; RS CVn variable
1 Per,,1,V436,11241,8704,01h 51m 59.31s,+55° 08′ 50.7″,5.53,-1.96,1028,B1.5V,V436 Per; eclipsing binary
,,,,22780,17203,03h 41m 07.84s,+37° 34′ 49.0″,5.55,-1.42,807,B7Vn,
HD 27192,b2,,,27192,20234,04h 20m 11.51s,+50° 55′ 15.4″,5.55,-2.26,1190,B1.5IV,
,,,,21362,16210,03h 28m 52.31s,+49° 50′ 54.4″,5.58,-0.57,553,B6Vn,
,,,,23193,17460,03h 44m 31.40s,+36° 27′ 36.7″,5.6,0.56,332,A2m,
,,,,23838,17932,03h 50m 04.45s,+44° 58′ 04.5″,5.65,0.52,346,G2III...,
V472 Per,,,V472,12953,9990,02h 08m 40.58s,+58° 25′ 25.0″,5.66,-3.08,1821,A1Ia,α Cyg variable
,,,,23300,17584,03h 45m 59.25s,+45° 40′ 55.0″,5.66,-1.86,1038,B6V,
,,,,29526,21823,04h 41m 24.09s,+48° 18′ 03.6″,5.66,0.76,311,A0V,
2 Per,,2,,11291,8714,01h 52m 09.35s,+50° 47′ 34.3″,5.7,-0.19,492,B9p...,
3 Per,,3,,11949,9222,01h 58m 33.50s,+49° 12′ 15.3″,5.7,1.31,246,K0IV,
,,,,21402,16168,03h 28m 20.68s,+33° 48′ 27.7″,5.72,0.61,343,A2V,
55 Per,,55,,27777,20579,04h 24m 29.14s,+34° 07′ 51.0″,5.73,-0.63,610,B8V,
8 Per,,8,,13982,10718,02h 17m 59.82s,+57° 53′ 59.3″,5.75,0.43,379,K3III,
,,,,26311,19525,04h 10m 59.02s,+33° 35′ 12.5″,5.75,-0.38,548,K1II-III,
11 Per,,11,,16727,12692,02h 43m 02.80s,+55° 06′ 21.9″,5.76,0.21,420,B7IIIp...,
,,,,24240,18212,03h 53m 38.67s,+48° 39′ 02.0″,5.76,0.16,430,K0III,
56 Per,,56,,27786,20591,04h 24m 37.42s,+33° 57′ 35.6″,5.77,2.67,136,F4V,
,,,,20995,15876,03h 24m 29.68s,+33° 32′ 09.7″,5.78,-0.26,527,A0V,
,,,,24131,18081,03h 51m 53.72s,+34° 21′ 32.9″,5.78,-1.73,1035,B1V,
,,,,20041,15192,03h 15m 47.97s,+57° 08′ 26.3″,5.79,-2.68,1614,A0Ia,
IW Per,,,IW,21912,16591,03h 33m 35.02s,+39° 53′ 58.5″,5.79,2.1,178,A5m,
,,,,21551,16340,03h 30m 36.93s,+48° 06′ 13.2″,5.82,-1.31,869,B8V,
,,,,16735,12686,02h 42m 59.47s,+53° 31′ 34.3″,5.85,0.34,413,K0II-III,
,,,,17656,13339,02h 51m 41.75s,+46° 50′ 31.2″,5.86,0.43,397,G8III,
,,,,29721,21972,04h 43m 21.60s,+49° 58′ 25.8″,5.86,-0.61,640,B9III,
,,,,18482,13949,02h 59m 39.87s,+41° 01′ 59.0″,5.89,-1,780,K2,
