Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
53 Cam,,53,AX,65339,39261,08h 01m 42.49s,+60° 19′ 27.9″,6.02,1.05,321,A2p...,"AX Cam; α2 CVn variable, *V*max = 5.95m, *V*min = 6.08m, *P* = 8.0278 d; 
spectroscopic binary"
,,,,31662,23380,05h 01m 36.02s,+61° 04′ 42.4″,6.03,3.19,120,F4V,
,,,,44472,30794,06h 28m 14.49s,+70° 32′ 07.0″,6.03,-0.12,553,A4V,
,,,,26076,19730,04h 13m 44.81s,+72° 07′ 34.4″,6.05,0.8,365,K1III,
,,,,31312,23442,05h 02m 19.79s,+74° 16′ 09.4″,6.05,-0.37,628,K5III,
24 Cam,,24,,37601,26942,05h 43m 01.66s,+56° 34′ 53.2″,6.05,2.11,200,K0III,
,,,,26553,19823,04h 15m 01.80s,+57° 27′ 37.3″,6.06,-1.96,1309,A4III,
12 Cam,,12,BM,32357,23743,05h 06m 12.14s,+59° 01′ 17.1″,6.08,-0.33,625,K0III,"BM Cam; RS CVn variable, Δ*V* = 0.14m, *P* = 82.8 d; double star with 11 Cam"
,,,,23383,17707,03h 47m 32.12s,+55° 55′ 19.4″,6.09,0.48,431,B9Vnn,
8 Cam,,8,,31579,23216,04h 59m 46.34s,+53° 09′ 19.7″,6.09,-0.77,767,K4III,
,,,,65448,39340,08h 02m 30.82s,+63° 05′ 25.2″,6.09,0.07,522,G1III,
,,,,31590,23617,05h 04m 39.65s,+74° 04′ 01.2″,6.1,0.02,537,A1V,
,,,,99945,56253,11h 31m 51.08s,+81° 07′ 37.8″,6.12,2.24,195,A2m,
15 Cam,,15,DV,34233,24836,05h 19m 27.85s,+58° 07′ 02.7″,6.13,-1.02,879,B5V,"DV Cam; Algol variable, *V*max = 6.10m, *V*min = 6.30m"
,,,,21427,16303,03h 30m 10.93s,+59° 21′ 57.8″,6.14,1.07,337,A2V,
,,,,25425,19177,04h 06m 38.81s,+65° 31′ 15.1″,6.14,0.41,457,A3m,
30 Cam,,30,,38831,27731,05h 52m 17.26s,+58° 57′ 50.9″,6.14,0.02,545,A0Vs,
,,,,33618,24479,05h 15m 11.38s,+59° 24′ 20.6″,6.15,1.28,307,K2III-IV,
19 Cam,,19,,36570,26408,05h 37m 15.07s,+64° 09′ 17.5″,6.15,0.86,372,A0V,
,,,,72582,42484,08h 39m 42.64s,+73° 37′ 47.7″,6.16,0.97,355,G7III,
,,,,33266,24313,05h 13m 02.83s,+61° 51′ 00.1″,6.17,0.34,477,A2III,
23 Cam,,23,,37638,27046,05h 44m 08.46s,+61° 28′ 35.5″,6.17,1.23,318,G5III:,
,,,,27402,20456,04h 22m 57.91s,+59° 36′ 58.6″,6.18,0.86,378,A4V,
,,,,38284,27472,05h 49m 04.68s,+62° 48′ 29.5″,6.18,0.67,412,A4V,
,,,,36384,26638,05h 39m 43.72s,+75° 02′ 37.7″,6.19,-0.06,579,M0III,
,,,,31675,23484,05h 02m 50.34s,+66° 49′ 25.6″,6.2,3.97,91,F6V:,
,,,,31563,23582,05h 04m 12.77s,+73° 45′ 50.2″,6.21,-1.84,1331,K0,
FR Cam,,,FR,104216,58545,12h 00m 18.84s,+80° 51′ 11.8″,6.21,-0.79,819,M2III,"irregular variable, *V*max = 6.16m, *V*min = 6.37m"
,,,,38645,27795,05h 52m 55.49s,+68° 28′ 17.9″,6.22,0.7,415,G9III,
,,,,39429,28205,05h 57m 34.95s,+66° 05′ 46.1″,6.24,0.66,427,K0,
,,,,25948,19400,04h 09m 22.16s,+54° 49′ 44.7″,6.25,2.87,155,F5V,
,,,,115337,64437,13h 12m 25.46s,+80° 28′ 16.6″,6.25,-0.37,686,K0Ib,
,,,,36496,26410,05h 37m 16.05s,+66° 41′ 48.2″,6.26,1.76,259,A8Vn,
,,,,45947,31703,06h 37m 55.24s,+73° 41′ 44.3″,6.26,3.51,116,F2,
,,,,104904,58874,12h 04m 28.53s,+85° 35′ 12.9″,6.27,1.86,249,F6V,
,,,,27855,20772,04h 27m 00.86s,+57° 35′ 07.2″,6.28,-0.54,755,A0III,
,,,,40055,28831,06h 05m 09.32s,+75° 35′ 09.4″,6.28,-0.44,720,K5,
,,,,67934,41208,08h 24m 33.11s,+82° 25′ 51.0″,6.28,-0.31,679,A2Vn,
KZ Cam,,,KZ,22316,16974,03h 38m 19.70s,+56° 55′ 58.1″,6.29,0.13,557,B9p,"HR 1094; α² CVn variable, *V*max = 6.28m, *V*min = 6.30m"
,,,,25877,19412,04h 09m 27.58s,+59° 54′ 29.1″,6.29,-1.3,1072,G8II,
