Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
33 Boo,,33,,,129002,71618,14h 38m 50.28s,+44° 24′ 16.4″,5.39,1.49,197,A1V,
22 Boo,f,22,,,126661,70602,14h 26m 27.41s,+19° 13′ 36.6″,5.4,0.68,286,F0m,
18 Boo,,18,,,125451,69989,14h 19m 16.22s,+13° 00′ 15.8″,5.41,3.33,85,F5IV,
,,,,,137704,75572,15h 26m 17.46s,+34° 20′ 09.1″,5.46,-0.42,489,K4III,
,,,,,131111,72582,14h 50m 29.80s,+37° 16′ 18.5″,5.47,1.53,200,K0III-IV,
BP Boo,,,,BP,140728,76957,15h 42m 50.82s,+52° 21′ 39.0″,5.48,0.54,317,B9p...,"α2 CVn variable, Δ*V* = 0.02m, *P* = 1.30488 d"
,,,,,133392,73634,15h 03m 06.08s,+35° 12′ 20.8″,5.52,0.89,275,G8III:,
14 Boo,,14,,,124570,69536,14h 14m 05.33s,+12° 57′ 34.5″,5.53,2.92,108,F6IV,
32 Boo,,32,,,129336,71837,14h 41m 43.62s,+11° 39′ 39.4″,5.55,0.19,385,G8III,
,,,,,137071,75257,15h 22m 37.37s,+39° 34′ 53.4″,5.56,-3.99,2650,K4III,
HD 118889,,,,,118889,66640,13h 39m 34.68s,+10° 44′ 46.7″,5.57,1.93,175,F0V,
24 Boo,g,24,,,127243,70791,14h 28m 38.09s,+49° 50′ 41.9″,5.58,0.7,308,G3IV,
47 Boo,k,47,,,133962,73841,15h 05m 25.89s,+48° 09′ 03.2″,5.59,1.08,260,A1V,
2 Boo,,2,,,119126,66763,13h 41m 02.36s,+22° 29′ 45.0″,5.63,0.66,322,G9III,
,,,,,132254,73100,14h 56m 22.94s,+49° 37′ 44.4″,5.63,3.65,81,F7V,
40 Boo,,40,,,132772,73369,14h 59m 36.97s,+39° 15′ 54.8″,5.64,2.13,164,F1III-IV,
,,,,,136729,75043,15h 20m 05.14s,+51° 57′ 30.6″,5.65,1.58,213,A4V,
46 Boo,b,46,,,134320,74087,15h 08m 23.78s,+26° 18′ 04.3″,5.67,0.12,420,K2III,
39 Boo,,39,,,131041,72524,14h 49m 41.36s,+48° 43′ 14.0″,5.68,1.44,229,F6V+...,
7 Boo,,7,,,121107,67787,13h 53m 12.95s,+17° 55′ 58.3″,5.71,-0.9,683,G5III,
,,,,,118508,66417,13h 36m 59.10s,+24° 36′ 47.9″,5.72,-0.23,505,M2III,
,,,,,129846,72012,14h 43m 44.44s,+40° 27′ 33.1″,5.72,-1.21,793,K4III,
,,,,,132146,73166,14h 57m 11.68s,+16° 23′ 17.3″,5.72,-0.67,617,G5III:,
1 Boo,,1,,,119055,66727,13h 40m 40.50s,+19° 57′ 20.4″,5.73,0.89,303,A1V,
CH Boo,,,,CH,128333,71280,14h 34m 39.66s,+49° 22′ 05.6″,5.74,-1.16,782,M1III,"irregular variable, Δ*V* = ~0.04m"
,,,,,128902,71568,14h 38m 12.67s,+43° 38′ 31.4″,5.74,-1.99,1144,K2III,
10 Boo,,10,,,121996,68276,13h 58m 38.93s,+21° 41′ 46.8″,5.76,-0.08,480,A0Vs,
38 Boo,h,38,,,130945,72487,14h 49m 18.68s,+46° 06′ 59.0″,5.76,2.41,153,F7IVw,Merga
,,,,,139798,76568,15h 38m 16.14s,+46° 47′ 52.8″,5.76,2.99,117,F2V,
EK Boo,,,,EK,130144,72208,14h 46m 06.00s,+15° 07′ 54.3″,5.78,-1.44,908,M5III,"irregular variable, Δ*V* = ~0.38m"
,,,,,130917,72552,14h 49m 58.39s,+28° 36′ 57.0″,5.8,1.02,295,A4V,
,,,,,134335,74096,15h 08m 35.56s,+25° 06′ 31.1″,5.82,-0.15,510,K1III,
,,,,,128998,71573,14h 38m 15.21s,+54° 01′ 24.2″,5.83,0.24,428,A1V,
CY Boo,,,,CY,125180,69829,14h 17m 28.44s,+15° 15′ 48.1″,5.84,-1.62,1012,M3III,"＝ 101 Vir; semiregular variable, *V*max = 5.74m, *V*min = 5.90m, *P* = 23 d"
,,,,,139906,76594,15h 38m 34.20s,+50° 25′ 24.1″,5.84,0.54,374,G8III,
HP Boo,,,,HP,130948,72567,14h 50m 15.72s,+23° 54′ 42.4″,5.86,4.59,58,G2V,"BY Draconis variable, Δ*V* = 0.03m, *P* = 7.85 d"
π2 Boo,π2,29,,,129175,,14h 40m 43.90s,+16° 25′ 04.0″,5.88,,,,component of the π Boo system
,,,,,128750,71571,14h 38m 14.01s,+18° 17′ 54.7″,5.9,0.64,367,K2III:,
,,,,,131951,73087,14h 56m 13.24s,+14° 26′ 46.6″,5.9,-0.22,547,A0V,
26 Boo,,26,,,127739,71115,14h 32m 32.62s,+22° 15′ 35.9″,5.91,2.35,168,F2IV,
,,,,,129153,71759,14h 40m 42.36s,+13° 32′ 03.7″,5.93,2.3,173,F0V,
4 G. Boo,,,4,,126200,70384,14h 24m 00.88s,+08° 14′ 38.4″,5.94,0.58,384,A3V,Algol variable
3 Boo,,3,,,120064,67239,13h 46m 43.33s,+25° 42′ 08.6″,5.97,1.36,272,F6IV-V,
CN Boo,,,,CN,124953,,14h 16m 04.20s,+18° 54′ 43.0″,5.98,,,A8III,"δ Sct variable, Δ*V* = 0.03m, *P* = 0.04 d"
1 G. Boo,,,1,,122365,68498,14h 01m 20.41s,+08° 53′ 41.7″,5.98,1.25,288,A2V,
,,,,,135438,74561,15h 14m 06.01s,+31° 47′ 16.5″,5.98,-0.29,585,K5,
,,,,,127726,71094,14h 32m 20.27s,+26° 40′ 38.4″,6,1.74,232,A7Vn,
DE Boo,,,,DE,131511,72848,14h 53m 24.04s,+19° 09′ 08.2″,6,5.69,38,K2V,"RS CVn variable, *V*max = 5.97m, *V*min = 6.04m, *P* = 10.39 d"
,,,,,121980,68279,13h 58m 39.95s,+14° 38′ 57.9″,6.01,-0.05,531,K5III,
,,,,,128198,71277,14h 34m 38.52s,+36° 37′ 34.2″,6.02,-0.19,568,K5III,
,,,,,134064,74000,15h 07m 20.34s,+18° 26′ 31.0″,6.03,1.66,244,A3V,
,,,,,127304,70892,14h 29m 49.68s,+31° 47′ 28.2″,6.06,0.91,349,A0Vs,
,,,,,137390,75369,15h 24m 05.13s,+45° 16′ 15.7″,6.07,0.22,482,K2III,
,,,,,120934,67714,13h 52m 18.39s,+12° 09′ 54.6″,6.1,1.11,325,A1V,
,,,,,119584,66992,13h 43m 45.13s,+22° 42′ 01.8″,6.12,-0.63,731,K4III,
,,,,,132029,73068,14h 55m 58.63s,+32° 18′ 00.3″,6.12,1.21,313,A2V,
,,,,,135530,74571,15h 14m 10.29s,+42° 10′ 17.2″,6.12,-1.32,1003,M2III,
,,,,,129132,71729,14h 40m 21.88s,+21° 58′ 32.8″,6.13,1.01,344,G0V,
,,,,,124186,69316,14h 11m 15.14s,+32° 17′ 44.9″,6.14,0.79,383,K4III,
