Name,B,F,G.[1],Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
υ Ser,υ,31,,,141187,77336,15h 47m 17.35s,+14° 06′ 55.0″,5.71,1.27,252,A3V,
44 G. Ser Cau,,,44 Cau,,170200,90497,18h 27m 58.77s,+06° 11′ 39.0″,5.71,-1.07,739,B8III-IV,
10 G. Ser Cau,,,10 Cau,,160018,86313,17h 38m 09.51s,−10° 55′ 34.5″,5.74,0.16,425,K0III,
20 G. Ser Cau,,,20 Cau,,165438,88684,18h 06m 15.11s,−04° 45′ 04.2″,5.74,3.02,114,K1IV,
e Ser,e,,57 Cau,,171978,91322,18h 37m 35.95s,−00° 18′ 33.9″,5.76,-0.72,644,A2V,
τ7 Ser,τ7,22,,,140232,76878,15h 41m 54.76s,+18° 27′ 50.0″,5.8,2.17,174,A2m,
3 Her,,-3,34 Cap,,143553,78442,16h 00m 51.16s,+04° 25′ 37.8″,5.82,1.49,239,K0III:,
66 G. Ser Cau,,,66 Cau,,173495,92027,18h 45m 28.36s,+05° 30′ 00.4″,5.82,-0.87,709,A1V,
19 G. Ser Cau,,,19 Cau,,165402,88670,18h 06m 07.40s,−08° 19′ 26.1″,5.84,-0.37,570,B8III-IV,
ψ Ser,ψ,23,20 Cap,,140538,77052,15h 44m 01.85s,+02° 30′ 55.9″,5.86,5.03,48,G5V,
6 G. Ser Cap,,,6 Cap,,136028,74901,15h 18m 26.13s,−00° 27′ 40.5″,5.88,-1.51,979,K5III,
FL Ser,,,,FL,134943,74386,15h 12m 04.27s,+18° 58′ 33.6″,5.9,-1.13,830,M4III,
τ5 Ser,τ5,18,,,139225,76424,15h 36m 29.20s,+16° 07′ 08.8″,5.93,2.48,160,F3V,
41 G. Ser Cap,,,41 Cap,,145085,79120,16h 08m 58.90s,+03° 27′ 16.0″,5.93,0.33,430,K5III,
42 G. Ser Cap,,,42 Cap,,145148,79137,16h 09m 11.06s,+06° 22′ 49.8″,5.93,3.51,99,K1+...,
13 G. Ser Cau,,,13 Cau,,161701,87074,17h 47m 36.79s,−14° 43′ 32.8″,5.93,-0.04,510,B9V,
16 G. Ser Cau,,,16 Cau,,163336,87813,17h 56m 19.04s,−15° 48′ 44.5″,5.93,1.52,249,A0V,
61 Ser,,61,48 Cau,,170920,90844,18h 31m 56.99s,−01° 00′ 10.7″,5.93,-0.28,570,A4III,
9 G. Ser Cau,,,9 Cau,,159877,86266,17h 37m 36.20s,−15° 34′ 15.7″,5.94,-3.63,2672,F0IV,
,,,,,141353,77412,15h 48m 13.31s,+13° 47′ 21.6″,5.98,0.33,440,K2III,
28 G. Ser Cau,,,28 Cau,,167768,89587,18h 16m 53.09s,−03° 00′ 24.3″,5.99,0.97,329,G3III,
τ6 Ser,τ6,19,,,140027,76810,15h 40m 59.09s,+16° 01′ 28.7″,6,0.3,450,G8III,
,,,,,137853,75674,15h 27m 38.87s,+25° 06′ 06.0″,6.01,-0.9,786,M1III,
,,,,,139087,76372,15h 35m 53.39s,+11° 15′ 56.5″,6.04,-0.64,706,K0III:,
39 Ser,,39,,,142267,77801,15h 53m 12.19s,+13° 11′ 52.8″,6.07,4.86,57,G0IV,
43 Ser,,43,35 Cap,,144046,78685,16h 03m 45.71s,+04° 59′ 12.5″,6.07,0.68,389,G9III,
τ3 Ser,τ3,15,,,139074,76337,15h 35m 33.28s,+17° 39′ 20.1″,6.1,0.58,414,G8III:,
8 Ser,,8,12 Cap,,137006,75342,15h 23m 43.67s,−01° 01′ 20.3″,6.11,2.41,179,F0V,
NW Ser,,,35 Cau,NW,168797,89977,18h 21m 28.40s,+05° 26′ 08.7″,6.14,-3.93,3361,B3Ve,Be star
73 G. Ser Cau,,,73 Cau,,175679,92968,18h 56m 25.60s,+02° 28′ 16.3″,6.14,0.11,523,G8III,
τ8 Ser,τ8,26,,,140729,77111,15h 44m 42.15s,+17° 15′ 51.2″,6.15,1.18,321,A0V,
,,,,,144889,78985,16h 07m 22.19s,+21° 49′ 21.8″,6.15,-0.05,566,K4III,
37 G. Ser Cau,,,37 Cau,,169493,90253,18h 24m 57.21s,−01° 34′ 45.9″,6.15,0.54,432,F1V,
14 G. Ser Cau,,,14 Cau,,162757,87540,17h 53m 03.51s,−10° 53′ 58.2″,6.17,1.56,273,K1III:,
47 Oph,,(47)[5],5 Cau,,157968,85397,17h 27m 02.12s,−12° 30′ 44.4″,6.2,2.92,148,F7V,
67 G. Ser Cau,,,67 Cau,,173954,92254,18h 48m 02.67s,+04° 14′ 29.0″,6.2,-0.97,886,K5,
,,,,,142357,77835,15h 53m 34.86s,+16° 04′ 30.0″,6.21,1.48,288,F5II-III,
τ2 Ser,τ2,12,,,138527,76069,15h 32m 09.68s,+16° 03′ 22.1″,6.22,0.61,431,B9V,
,,,,,139862,76733,15h 40m 10.36s,+12° 03′ 10.6″,6.22,-1.34,1058,G8II,
,,,,,137510,75535,15h 25m 53.30s,+19° 28′ 50.6″,6.26,3.16,136,G0V,
,,,,,142763,77995,15h 55m 39.86s,+18° 37′ 14.8″,6.26,-2.26,1646,B8III,
38 G. Ser Cap,,,38 Cap,,144426,78840,16h 05m 37.93s,+08° 05′ 46.5″,6.27,0.81,402,A3m,
40 Ser,,40,32 Cap,FP,142500,77910,15h 54m 40.27s,+08° 34′ 49.2″,6.28,1.94,241,A7Vn,FP Ser; Delta Scuti-type
7 Ser,,7,,,136831,75230,15h 22m 23.24s,+12° 34′ 03.1″,6.29,0.62,445,A0V,
,,,,,142244,77782,15h 52m 56.15s,+17° 24′ 11.4″,6.29,0.43,485,K0,
29 G. Ser Cau,,,29 Cau,,167833,89623,18h 17m 24.16s,−09° 45′ 30.5″,6.29,0.69,430,A8V,
,,,,,135263,74505,15h 13m 31.84s,+22° 58′ 59.4″,6.31,1.63,282,A2V,
23 G. Ser Cap,,,23 Cap,,140815,77186,15h 45m 39.50s,+00° 53′ 27.8″,6.32,-0.07,619,K0III,
21 G. Ser Cau,,,21 Cau,,165462,88671,18h 06m 07.44s,−00° 26′ 46.0″,6.32,0.36,507,G8IIp,
10 G. Ser Cap,,,10 Cap,,136442,75101,15h 20m 47.17s,−02° 24′ 46.5″,6.34,3.5,120,K0V,
27 G. Ser Cau,,,27 Cau,,167564,89512,18h 15m 57.93s,−03° 37′ 04.7″,6.35,0.55,472,A4V,
,,,,,136643,75125,15h 21m 06.90s,+24° 57′ 29.0″,6.36,0.2,555,K0,
12 G. Ser Cau,,,12 Cau,,161023,86769,17h 43m 48.45s,−13° 30′ 30.3″,6.36,3.21,139,F0V,
36 G. Ser Cau,,,36 Cau,,169268,90174,18h 24m 03.60s,−03° 34′ 58.9″,6.36,2.25,216,F6III-IV,
63 G. Ser Cau,,,63 Cau,,172365,91499,18h 39m 36.88s,+05° 15′ 51.4″,6.36,-1.25,1087,F8Ib-II,
,,,,,138085,75810,15h 29m 12.14s,+16° 23′ 43.7″,6.38,0.45,499,G8III-IV,
24 G. Ser Cau,,,24 Cau,,166103,88981,18h 09m 43.37s,−13° 56′ 03.9″,6.38,-0.18,669,K1II,
MV Ser,,,49 Cau,MV,170973,90858,18h 32m 06.88s,+03° 39′ 34.5″,6.41,-1.41,1194,A0sp...,α2 CVn-type variable star
45 G. Ser Cap,,,45 Cap,,145936,79522,16h 13m 38.63s,−01° 28′ 30.5″,6.45,1.46,324,K0,
2 G. Ser Cau,,,2 Cau,,156971,84883,17h 20m 52.60s,−10° 41′ 46.9″,6.46,3.09,154,F1III+...,
4 G. Ser Cap,,,4 Cap,,135615,74695,15h 15m 53.57s,+06° 27′ 53.6″,6.47,-1.38,1212,K0,
