Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
37 G. Tau,,,37,,26292,19434,04h 09m 43.04s,+03° 19′ 22.2″,6.49,2.51,204,F2,
SZ Tau,,,,SZ,29260,21517,04h 37m 14.78s,+18° 32′ 35.0″,6.49,-1.04,1045,F5Ib,δ Cep variable
,,,,,22615,17026,03h 39m 00.06s,+20° 54′ 57.1″,6.5,0.6,494,Am...,
,,,,,28568,21053,04h 30m 46.74s,+16° 08′ 55.5″,6.5,3.43,134,F5V,member of the Hyades star cluster
9 Tau,,9,,,22374,16859,03h 36m 58.03s,+23° 12′ 40.0″,6.72,1.08,437,A2p,
101 Tau,,101,,,31845,23214,04h 59m 44.27s,+15° 55′ 00.5″,6.75,3.57,141,F5V,member of the Hyades star cluster
HD 24496,,,,,24496,18267,03h 54m 28.03s,+16° 36′ 57.8″,6.81,3.36,160,G5,binary star; has a planet (b)
55 Tau,,55,,,27383,20215,04h 19m 54.78s,+16° 31′ 21.6″,6.85,3.68,140,F7V+...,member of the Hyades star cluster
HD 24040,,,,,24040,17960,03h 50m 22.97s,+17° 28′ 34.9″,7.52,4.18,152,G0,has a planet (b)
HD 32963,,,,,32963,26381,05h 07m 56.0s,+26° 19′ 41″,7.6,,,G5IV,has a planet (b)
HD 37124,,,,,37124,23884,05h 37m 02.49s,+20° 43′ 50.8″,7.68,5.07,108,G4V,"has three planets (b, c & d)"
Alcyone B,η,,,,23607,,03h 47m 19.20s,+24° 08′ 22.0″,8.3,,,,component of the Alcyone system
HD 28678,,,,,28678,21109,04h 31m 25 s,+04° 34′ 31″,8.54,,740,K0D,has a planet (b)
RV Tauri,,,,RV,283868,,04h 47m 06.73s,+26° 10′ 45.6″,9.41,,~20000,K3pv,"prototype of the RV Tauri-type variables; *V*max = 9.8m, *V*min = 13.3m"
HD 283668,,,,,283668,20834,04h 27m 53.0s,+24° 26′ 41″,9.44,,138,,has a planet (b)
T Tauri,,,,T,284419,20390,04h 21m 59.43s,+19° 32′ 06.4″,9.6,3.36,576,G5Ve,prototype of the T Tauri-type variables
HD 284149,,,,,284149,19176,04h 06m 39.0s,+20° 18′ 11″,9.63,,353,F8,has a planet (b)
Gliese 176,,,,,285968,21932,04h 42m 55.78s,+18° 57′ 29.4″,9.97,10.1,31,M2.5V,has a planet (b)
HD 285507,,,,,285507,19207,04h 07m 01.0s,+15° 20′ 06″,10.5,,135,K5,has a planet (b)
V830 Tau,,,,,,,04h 33m 10.0s,+24° 33′ 43″,12.1,,427,M0,has a planet (b)
WASP-152,,,,,,,04h 10m 41.0s,+24° 24′ 07″,12.56,,,G7V,has a transiting planet (b)
CL Tau,,,,CL,,,04h 38m 45.0s,+08° 05′ 46″,13,,,T Tau,has a planet (b)
FW Tau,,,,FW,,,04h 29m 30.0s,+26° 16′ 53″,15.5,,473,M4,has a planet (b)
Crab Pulsar,,,,,,,05h 34m 31.95s,+22° 00′ 52.1″,16.5,,6500,F,"PSR B0531+21, CM Tau; pulsar in the Crab Nebula"
2M J044144,,,,,,,04h 41m 44.90s,+23° 01′ 51.4″,,,455,M8.5,has a planet
"Table legend: 
[TABLE]",,,,,,,,,,,,,
