Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
UU Aur,,,UU,46687,31579,06h 36m 32.84s,+38° 26′ 44.0″,5.4,-3.32,1811,C5II,"semiregular variable, *V*max = 4.9m, *V*min = 7.0m, *P* = 441 d"
,,,,34557,24902,05h 20m 14.68s,+41° 05′ 10.8″,5.46,0.6,306,A3V,
ο Aur,ο,27,,38104,27196,05h 45m 54.05s,+49° 49′ 34.6″,5.46,-0.39,482,A0p...,
,,,,34904,25143,05h 22m 50.32s,+41° 01′ 45.3″,5.54,0.72,300,A3V,
PU Aur,,,PU,34269,24738,05h 18m 15.68s,+42° 47′ 31.9″,5.55,-1.09,694,M4III,"irregular variable, *V*max = 5.55m, *V*min = 5.78m"
,,,,30454,22393,04h 49m 12.84s,+31° 26′ 15.4″,5.57,1.29,235,K2III,
,,,,30557,22545,04h 51m 09.36s,+48° 44′ 26.7″,5.64,0.67,321,G9III,
HD 34790,,,,34790,25001,05h 21m 12.69s,+29° 34′ 11.6″,5.66,1,278,A1Vs,
,,,,33167,24109,05h 10m 42.87s,+46° 57′ 44.8″,5.67,2.35,151,F5V,
,,,,30823,22699,04h 52m 47.77s,+42° 35′ 11.9″,5.68,-0.32,517,A3III,
,,,,35600,25492,05h 27m 08.27s,+30° 12′ 31.0″,5.69,-3.56,2312,B9Ib,
51 Aur,,51,,47070,31771,06h 38m 39.55s,+39° 23′ 28.0″,5.7,0.76,317,K5III,
36 Aur,,36,V444,40394,28499,06h 00m 58.56s,+47° 54′ 07.1″,5.71,-1.77,1022,B9.5p SiFe,"V444 Aur; α² CVn variable, *V*max = 5.70m, *V*min = 5.74m, *P* = 14.368 d"
,,,,36678,26344,05h 36m 35.22s,+54° 25′ 43.3″,5.74,-1.06,746,M0III,
RT Aur,,48,RT,45412,30827,06h 28m 34.09s,+30° 29′ 35.1″,5.75,-2.65,1560,F5.5Ibv,"Cepheid variable, *V*max = 5.00m, *V*min = 5.82m, *P* = 3.72849 d"
53 Aur,,53,,47152,31737,06h 38m 23.02s,+28° 59′ 03.8″,5.76,0.2,421,B9npe...,
41 Aur A,,41,,42126,29388,06h 11m 36.58s,+48° 42′ 40.0″,5.78,0.88,311,A3V+...,binary star
,,,,42471,29451,06h 12m 20.13s,+32° 41′ 36.2″,5.78,-2.4,1411,M1III,
WW Aur,,,WW,46052,31173,06h 32m 27.20s,+32° 27′ 17.8″,5.82,1.19,275,A3m + A3m,"Algol variable, Δ*V* = 0.68m, *P* = 2.52502 d"
HD 30453,,,,30453,22407,04h 49m 19.06s,+32° 35′ 17.8″,5.84,0.78,336,A8m,
ψ9 Aur,ψ9,,,50658,33377,06h 56m 32.06s,+46° 16′ 26.4″,5.85,-1.17,825,B8III,part of Dolones (ψ Aur)[1]
64 Aur,,64,,56221,35341,07h 18m 02.22s,+40° 53′ 00.1″,5.87,1.3,268,A5Vn,
47 Aur,,47,,45466,30972,06h 30m 02.98s,+46° 41′ 07.9″,5.88,-0.18,530,K4III,
,,,,50763,33415,06h 56m 56.13s,+46° 42′ 19.9″,5.88,0.83,334,K0III:,
,,,,39586,27973,05h 54m 59.02s,+31° 42′ 07.0″,5.9,1.42,256,A5IV,
,,,,40084,28343,05h 59m 21.78s,+49° 55′ 28.4″,5.9,-1.79,1124,G5III,
39 Aur,,39,,41074,28823,06h 05m 03.42s,+42° 58′ 55.1″,5.9,2.34,168,F3V,
,,,,35520,25471,05h 26m 48.80s,+34° 23′ 30.6″,5.92,-2.06,1289,A1p,
,,,,35239,25291,05h 24m 38.53s,+31° 08′ 35.4″,5.94,-1.07,821,B9III,
5 Aur,,5,,31761,23261,05h 00m 18.35s,+39° 23′ 40.9″,5.95,2.33,173,F5V,
V433 Aur,,,V433,37367,26606,05h 39m 18.31s,+29° 12′ 54.8″,5.98,-1.81,1177,B2IV-V,"long-period pulsating variable, Δ*V* = 0.04m, *P* = 4.6382 d"
,,,,40486,28562,06h 01m 43.05s,+48° 57′ 34.1″,5.98,-0.64,686,K0,
AE Aur,,,AE,34078,24575,05h 16m 18.15s,+34° 18′ 44.0″,5.99,-2.26,1455,O9.5Vvar,"runaway star; Orion variable, *V*max = 5.78m, *V*min = 6.08m"
,,,,36040,25816,05h 30m 48.65s,+41° 27′ 43.5″,5.99,0.62,386,K0IIIp,
V394 Aur,,,V394,41429,28930,06h 06m 22.44s,+29° 30′ 44.7″,6.01,-1.18,893,M3II comp,"semiregular variable, *V*max = 6.01m, *V*min = 6.11m, *P* = 32.896 d"
,,,,33203,24072,05h 10m 18.81s,+37° 18′ 06.7″,6.02,-2.97,2050,B2II: comp,
54 Aur,,54,,47395,31852,06h 39m 33.12s,+28° 15′ 47.4″,6.02,-0.67,709,B7III,
62 Aur,,62,,51440,33614,06h 59m 02.88s,+38° 03′ 09.4″,6.02,-0.31,603,K2III,
,,,,50056,33044,06h 53m 03.54s,+35° 47′ 16.8″,6.03,-0.62,698,K3III:,
,,,,37519,26712,05h 40m 35.91s,+31° 21′ 29.6″,6.04,0.1,502,B9.5III-IVp,
,,,,39225,27778,05h 52m 40.08s,+33° 55′ 02.8″,6.04,-0.75,744,M2II:,
,,,,40626,28637,06h 02m 48.59s,+49° 54′ 20.8″,6.04,0.54,410,B9.5IV,
,,,,31069,22842,04h 54m 51.22s,+44° 03′ 39.6″,6.06,0.97,340,A0V,
,,,,42466,29569,06h 13m 45.34s,+51° 10′ 21.4″,6.07,0.61,403,K1III,
,,,,36891,26363,05h 36m 52.42s,+40° 10′ 56.6″,6.08,-3.38,2547,G3Ib,
