Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
51 Peg,,51,,,217014,113357,22h 57m 27.85s,+20° 46′ 07.3″,5.45,4.52,50,G5V,"Helvetios,[1] has a planet b"
5 Peg,,5,,,205852,106787,21h 37m 45.37s,+19° 19′ 06.9″,5.46,0.49,321,F1IV,
75 Peg,,75,,KS,222133,116611,23h 37m 56.77s,+18° 24′ 02.2″,5.49,1.17,239,A1Vn,KS Peg; β Lyr variable
37 Peg,,37,35,,213235,111062,22h 29m 57.95s,+04° 25′ 55.4″,5.51,1.9,172,F5IVs,
15 Peg,,15,,,207978,107975,21h 52m 29.96s,+28° 47′ 37.3″,5.52,3.31,90,F6IVwvar,
17 Peg,,17,,,208565,108339,21h 56m 56.39s,+12° 04′ 35.5″,5.54,-0.11,440,A2Vnn,
86 Peg,,86,,,87,476,00h 05m 41.94s,+13° 23′ 46.6″,5.55,0.26,373,G5III,
67 Peg,,67,,,220599,115591,23h 24m 50.82s,+32° 23′ 05.5″,5.56,-0.4,506,B9III,
87 Peg,,87,,,448,729,00h 09m 02.34s,+18° 12′ 43.3″,5.57,0.81,292,G9III,
34 Vul,,-34,,,203344,105411,21h 21m 04.24s,+23° 51′ 22.5″,5.58,0.91,280,K1III,
π1 Peg,π1,27,,,210354,109352,22h 09m 13.68s,+33° 10′ 21.0″,5.58,0.89,283,G6III:,
63 Peg,,63,,,220088,115271,23h 20m 49.50s,+30° 24′ 54.3″,5.58,-0.05,435,M0III,
36 Peg,,36,34,,213119,110986,22h 29m 07.95s,+09° 07′ 44.7″,5.6,-0.65,579,K5III,
20 Peg,,20,,,209166,108693,22h 01m 05.32s,+13° 07′ 11.9″,5.61,1.39,228,F4III,
11 Peg,,11,12,,207203,107575,21h 47m 13.96s,+02° 41′ 10.1″,5.63,-0.15,467,A1V,27 Aquarii
73 Peg,,73,,,221758,116355,23h 34m 38.21s,+33° 29′ 50.2″,5.63,0.77,305,K0III:,
38 Peg,,38,,,213323,111068,22h 30m 01.79s,+32° 34′ 21.6″,5.64,0.16,407,B9.5V,
19 Peg,,19,18,,209167,108699,22h 01m 09.24s,+08° 15′ 25.8″,5.65,-0.71,609,K5III,
4 Peg,,4,7,,205924,106856,21h 38m 31.87s,+05° 46′ 18.0″,5.66,2.02,174,A9IV-Vn,
,,,,,218792,114449,23h 10m 42.62s,+17° 35′ 40.0″,5.68,-0.27,505,K4III,
,,,,,208108,108060,21h 53m 37.37s,+19° 40′ 06.2″,5.69,1.45,230,A0Vs,
