Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 152408,,,,152408,82775,16h 54m 58.51s,−41° 09′ 03.1″,5.78,-6.56,9588,WN9ha,"in Trumpler 24; suspected variable, *V*max = 5.77m, *V*min = 5.82m"
HD 148247,,,,148247,80672,16h 28m 14.46s,−37° 10′ 47.3″,5.79,0.84,319,K1IIICN...,
V1003 Sco,,,V1003,149711,81472,16h 38m 26.30s,−43° 23′ 54.2″,5.83,-0.79,686,B2.5IV,"rotating ellipsoidal variable, Δ*V* = 0.03m"
HD 142883,,,,142883,78168,15h 57m 40.47s,−20° 58′ 58.9″,5.84,0.11,455,B3V,"Algol variable, *V*max = 5.84m, *V*min = 6.31m, *P* = 9.20 d"
HD 150331,,,,150331,81741,16h 41m 45.50s,−33° 08′ 44.2″,5.84,1.08,292,G1II,
HD 152293,,,,152293,82716,16h 54m 26.94s,−42° 28′ 44.0″,5.84,,,F5Ib-II,
HD 158799,,,,158799,85889,17h 33m 07.39s,−41° 10′ 23.0″,5.84,-1.55,982,B9Ib/II,
HD 162391,,,,162391,87472,17h 52m 19.76s,−34° 25′ 00.6″,5.84,-0.95,744,G8/K0III,In Messier 7
HD 147723,,,,147723,80399,16h 24m 39.73s,−29° 42′ 16.1″,5.84,2.91,102,G0,
HD 145191,,,,145191,79320,16h 11m 17.77s,−41° 07′ 10.2″,5.86,1.66,226,F0IV,
HD 144844,,,,144844,79098,16h 08m 43.73s,−23° 41′ 07.3″,5.87,0.28,426,B9V,"α2 CVn variable, *V*max = 5.87m, *V*min = 5.90m, *P* = 2.69 d"
3 Sco,,3,V927,142301,77909,15h 54m 39.54s,−25° 14′ 37.2″,5.87,0.14,455,B8III/IV,"SX Ari variable, Δ*V* = 0.03m, *P* = 1.46 d"
HD 160928,,,,160928,86847,17h 44m 42.01s,−42° 43′ 45.5″,5.87,1.29,269,A2/A3IV/V,
V957 Sco,,,V957,162374,87460,17h 52m 13.66s,−34° 47′ 57.1″,5.87,-1.16,830,B6Ib,"In Messier 7; SX Ari variable, Δ*V* = 0.05m"
V929 Sco,,,V929,144334,78877,16h 06m 06.38s,−23° 36′ 22.5″,5.9,0.03,487,B8V,"SX Ari variable, *V*max = 5.89m, *V*min = 5.91m, *P* = 1.50 d"
HD 145838,,,,145838,79596,16h 14m 22.37s,−33° 00′ 39.8″,5.91,-0.56,643,K0III,
V923 Sco,,,V923,153890,83491,17h 03m 50.87s,−38° 09′ 09.0″,5.91,1.88,209,F3V,"Algol variable, *V*max = 5.86m, *V*min = 6.24m, *P* = 34.83 d"
Gliese 667 A,,,,156384A,84709,17h 18m 56.36s,−34° 59′ 22.5″,5.91,6.69,23,K4V,"component of the Gliese 667 system; suspected variable, *V*max = 5.88m, *V*
min = 5.92m"
HD 157097,,,,157097,85048,17h 22m 54.73s,−37° 13′ 14.5″,5.91,0.36,421,K1III,
HD 149886,,,,149886,81523,16h 39m 05.24s,−37° 13′ 02.1″,5.93,0.31,434,B9.5V+...,
HD 154783,,,,154783,83896,17h 08m 47.55s,−30° 24′ 12.8″,5.93,1.36,267,Fm,
HD 162189,,,,162189,87390,17h 51m 32.57s,−40° 46′ 20.4″,5.94,-0.83,738,M2III,semiregular variable
V1068 Sco,,,V1068,152161,82650,16h 53m 42.44s,−43° 03′ 03.2″,5.95,-1.81,1160,M3II/III,slow irregular variable
HD 153368,,,,153368,83235,17h 00m 36.99s,−35° 56′ 02.3″,5.95,1.19,292,K2IIICN...,
HD 155450,,,,155450,84226,17h 12m 58.56s,−32° 26′ 18.0″,5.95,-4.35,3747,B1Ib,
HD 155826,,,,155826,84425,17h 15m 36.08s,−38° 35′ 34.6″,5.95,3.52,100,G0V,
HD 146850,,,,146850,79938,16h 19m 00.43s,−14° 52′ 22.2″,5.97,-1.15,865,K3IIICNpvar,
