Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
49 Ori,d,49,,37507,26563,05h 38m 53.09s,−07° 12′ 45.8″,4.77,1.41,153,A4V,
HD 36960,,,,36960,26199,05h 35m 02.68s,−06° 00′ 07.3″,4.78,-4,1863,B0.5V,suspected variable
15 Ori,,,,33276,24010,05h 09m 41.96s,+15° 35′ 50.2″,4.81,-0.14,318,F2IV,
ψ1 Ori,ψ1,25,V1086,35439,25302,05h 24m 44.83s,+01° 50′ 47.2″,4.89,-2.77,1109,B1V:pe,"γ Cas variable, *V*max = 4.76m, *V*min = 4.96m"
51 Ori,b,51,,37984,26885,05h 42m 28.66s,+01° 28′ 28.8″,4.9,0.07,302,K1III,
HD 44131,,,,44131,30093,06h 19m 59.60s,−02° 56′ 40.2″,4.91,-1.05,506,M1III,"variable star, Δ*V* = 0.011m, *P* = 8.92 d"
HD 37756,,,,37756,26736,05h 40m 50.72s,−01° 07′ 43.6″,4.95,-4.08,2090,B2IV-V,suspected eclipsing binary
69 Ori,f1,69,,42545,29434,06h 12m 03.28s,+16° 07′ 49.6″,4.95,-1.93,774,B5Vn,
θ2 Ori A,θ2,43,,37041,26235,05h 35m 22.90s,−05° 24′ 57.8″,4.98,-3.84,1895,O9.5Vpe,component of the θ2 Ori system; suspected variable
23 Ori,m,23,,35149,25142,05h 22m 50.00s,+03° 32′ 40.0″,5,-2.35,962,B1V,suspected variable
74 Ori,k,74,,43386,29800,06h 16m 26.57s,+12° 16′ 18.2″,5.04,3.58,64,F5IV-V,
27 Ori,p,27,,35410,25282,05h 24m 28.91s,−00° 53′ 30.0″,5.07,1.46,172,K0III,suspected variable
θ1 Ori C,θ1 C,41,,37022,26221,05h 35m 16.47s,−05° 23′ 22.9″,5.13,-4.9,1600,O6Vpe,component of the Trapezium; triple star system; suspected variable
64 Ori,,64,,41040,28691,06h 03m 27.36s,+19° 41′ 26.2″,5.14,-2.44,1069,B8V,suspected variable
6 Ori,g,6,,31283,22833,04h 54m 46.91s,+11° 25′ 33.5″,5.18,0.84,241,A3V,suspected variable
HD 33554,,,,33554,24197,05h 11m 41.56s,+16° 02′ 44.4″,5.18,0.21,321,K5III,
71 Ori,,71,,43042,29650,06h 14m 50.94s,+19° 09′ 24.8″,5.2,3.58,69,F6V,
60 Ori,,60,,40446,28296,05h 58m 49.58s,+00° 33′ 10.7″,5.21,-0.05,367,A1Vs,suspected variable
45 Ori,,45,,37077,26268,05h 35m 39.49s,−04° 51′ 21.9″,5.24,-0.04,370,F0III,
52 Ori,,52,,38710,27386,05h 48m 00.23s,+06° 27′ 15.2″,5.26,-0.58,479,A5V,
38 Ori,n2,38,,36777,26126,05h 34m 16.79s,+03° 46′ 01.0″,5.32,0.2,345,A2V,
5 Ori,,5,,31139,22730,04h 53m 22.76s,+02° 30′ 29.8″,5.33,-1.13,638,M1III,suspected variable
HD 31296,,,,31296,22834,04h 54m 47.79s,+07° 46′ 45.0″,5.33,-0.33,441,K1III,
14 Ori,i,14,,33054,23879,05h 07m 52.87s,+08° 29′ 54.9″,5.33,1.46,194,Am,
21 Ori,,21,,34658,24817,05h 19m 11.23s,+02° 35′ 45.4″,5.34,1.42,198,F5IIvar,
HD 36591,,,,36591,25980,05h 32m 41.35s,−01° 35′ 30.6″,5.34,-4.14,2567,B1IV,suspected variable
72 Ori,f2,72,,43153,29704,06h 15m 25.13s,+16° 08′ 35.5″,5.34,-0.5,479,B7V,
HD 30210,,,,30210,22157,04h 46m 01.70s,+11° 42′ 20.2″,5.35,0.79,266,Am...,
VV Ori,,,VV,36695,26063,05h 33m 31.45s,−01° 09′ 21.9″,5.36,-3.41,1852,B1V,"Algol variable, *V*max = 5.31m, *V*min = 5.66m, *P* = 1.49 d"
55 Ori,,55,,39291,27658,05h 51m 21.98s,−07° 31′ 04.8″,5.36,-3.2,1680,B2IV-V,suspected variable
HD 30034,,,,30034,22044,04h 44m 25.77s,+11° 08′ 46.2″,5.39,1.97,157,F0V,
75 Ori,l,75,,43525,29850,06h 17m 06.62s,+09° 56′ 33.1″,5.39,0.93,254,A2V,
U Ori,,,U,39816,28041,05h 55m 49.30s,+20° 10′ 30.0″,5.4,,1420,M8III,"Mira variable, *V*max = 4.8m, *V*min = 13m, *P* = 377 d"
16 Ori,h,16,,33254,23983,05h 09m 19.60s,+09° 49′ 46.6″,5.43,1.77,176,A2m,suspected variable
73 Ori,,73,,43247,29736,06h 15m 44.97s,+12° 33′ 03.9″,5.44,-2.72,1399,B9II-III,
33 Ori,n1,33,,36351,25861,05h 31m 14.53s,+03° 17′ 31.7″,5.46,-2.95,1567,B1.5V,
HD 34043,,,,34043,24450,05h 14m 44.05s,+05° 09′ 22.1″,5.5,-0.82,598,K4III,suspected variable
18 Ori,,18,,34203,24555,05h 16m 04.14s,+11° 20′ 28.9″,5.52,0.26,368,A0V,
HD 35536,,,,35536,25329,05h 25m 01.74s,−10° 19′ 43.8″,5.6,-0.85,635,K5III,
35 Ori,,35,,36653,26093,05h 33m 54.29s,+14° 18′ 20.1″,5.6,-0.39,513,B3V,
HD 36881,,,,36881,26215,05h 35m 13.24s,+10° 14′ 24.4″,5.6,-2.66,1462,B9IIIMNp...,
HD 43318,,,,43318,29716,06h 15m 34.36s,−00° 30′ 42.0″,5.62,2.86,116,F6V,
66 Ori,,66,,41380,28814,06h 04m 58.36s,+04° 09′ 31.2″,5.63,-3.78,2489,G4III,
HD 36959,,,,36959,26197,05h 35m 01.01s,−06° 00′ 33.4″,5.67,,2694,B1Vvar,suspected variable
63 Ori,,63,,41361,28812,06h 04m 58.19s,+05° 25′ 11.9″,5.67,-1.97,1101,G7III:,
HD 44033,,,,44033,30099,06h 20m 04.23s,+14° 39′ 04.2″,5.67,-0.46,548,K3Ib,suspected variable
HD 35007,,,,35007,25028,05h 21m 31.84s,−00° 24′ 59.4″,5.68,-1.91,1076,B3V,
HD 35299,,,,35299,25223,05h 23m 42.31s,−00° 09′ 35.3″,5.69,-1.28,809,B1.5V,suspected variable
HD 40369,,,,40369,28302,05h 58m 53.24s,+12° 48′ 29.7″,5.7,-1.35,838,K2III...,
HD 42111,,,,42111,29151,06h 08m 57.90s,+02° 29′ 59.0″,5.7,-0.66,609,A3Vn,
HD 43587,,,,43587,29860,06h 17m 16.25s,+05° 05′ 58.9″,5.7,4.27,63,G0.5Vb,
HD 37209,,,,37209,26345,05h 36m 35.69s,−06° 03′ 53.1″,5.71,-3.14,1918,B1V...,suspected variable
68 Ori,,68,,42509,29433,06h 12m 01.34s,+19° 47′ 26.1″,5.76,-1.61,970,B9.5V,
HD 36166,,,,36166,25751,05h 29m 54.77s,+01° 47′ 21.3″,5.77,-2.16,1254,B2V,
HD 34989,,,,34989,25041,05h 21m 43.56s,+08° 25′ 42.8″,5.78,-0.99,736,B1V...,
HD 38527,,,,38527,27280,05h 46m 52.15s,+09° 31′ 21.0″,5.78,0.96,300,G8III,
HD 31373,,,,31373,22913,04h 55m 50.16s,+15° 02′ 25.1″,5.79,0.23,423,B9V,
HD 39007,,,,39007,27549,05h 50m 02.68s,+09° 52′ 16.4″,5.79,0.74,334,G8III,
HD 36134,,,,36134,25708,05h 29m 23.70s,−03° 26′ 46.9″,5.8,0.02,467,K1III...,suspected variable
HD 43023,,,,43023,29575,06h 13m 54.24s,−03° 44′ 29.1″,5.83,0.91,315,G8III,
HD 42954,,,,42954,29616,06h 14m 28.58s,+17° 54′ 23.0″,5.86,0.15,452,A6m,
HD 37320,,,,37320,26487,05h 38m 01.11s,+07° 32′ 29.2″,5.87,-0.29,556,B8III,
HD 39910,,,,39910,28011,05h 55m 30.16s,−04° 36′ 59.4″,5.87,1.02,304,K2III:,
HD 33646,,,,33646,24203,05h 11m 45.35s,+01° 02′ 13.4″,5.88,-1.36,916,F5,
