Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 225200,,,225200,345,00h 04m 20.30s,−29° 16′ 07.8″,6.38,0.83,421,A1V,
HD 3074,,,3074,2663,00h 33m 43.85s,−35° 00′ 03.0″,6.41,3.62,118,F8/G0V,
HD 3605,,,3605,3056,00h 38m 48.75s,−25° 06′ 28.0″,6.43,-0.32,729,K4III,
HD 6403,,,6403,5042,01h 04m 32.61s,−33° 31′ 58.0″,6.44,0.44,517,K0III,
HD 223466,,,223466,117510,23h 49m 49.61s,−25° 19′ 52.6″,6.44,1.02,396,A3V,
HD 219823,,,219823,115121,23h 19m 03.28s,−28° 23′ 16.3″,6.49,-0.31,748,K5III,
AV Scl,,AV,1909,1830,00h 23m 12.61s,−31° 02′ 08.8″,6.56,,563,B9IVmn,α2 CVn variable
HD 6619,,AW,6619,5193,01h 06m 26.58s,−35° 39′ 38.4″,6.61,,494,A1V,α2 CVn variable
Z Scl,,Z,3735,3142,00h 39m 57.82s,−33° 57′ 41.2″,6.69,,130.9,F8V,suspected variable
HD 9770,,BB,9770,7372,01h 35m 01.04s,−29° 54′ 37.0″,7.1,,70.5,K1V+M2V,"eclipsing binary, *V*max = 7.1m, *V*min = 7.17m, *P* = 0.48 d"
HD 4208,,,4208,3479,00h 44m 26.65s,−26° 30′ 56.4″,7.79,5.22,107,G7V,has a planet (b)
HD 4113,,,4113,3391,00h 49m 12.60s,−37° 58′ 57.5″,7.91,4.69,144,G5V,has a planet (b)
HD 9578,,,9578,7240,01h 33m 17.14s,−38° 14′ 42.1″,8.2,4.41,187,G1V,has a planet (b)
HD 6532,,AP,6532,5150,01h 05m 55.70s,−26° 43′ 44.0″,8.4,,531,A5p,rapidly oscillating Ap star
Gliese 1,,,225213,439,00h 05m 24.43s,−37° 21′ 26.5″,8.63,,14.148,M1.5,"suspected BY Dra variable, Δ*V* = 0.02m"
HD 1097,,AU,1097,1210,00h 15m 07.97s,−29° 00′ 23.0″,9.05,,1150,A4mF4Sr,δ Sct variable
WASP-8,,,,,23h 59m 36.07s,−35° 01′ 52.9″,9.89,6.45,159,G6,has a transiting planet (b)
RT Scl,,RT,,,00h 36m 28.09s,−25° 40′ 22.9″,10.31,,,A5N+F3,"β Lyr variable, *V*max = 10.18m, *V*min = 10.89m, *P* = 0.51 d"
CD -38 245,,,,3635,00h 46m 36.19s,−37° 39′ 33.6″,12,,,K1Ivw,very metal-poor star
WASP-45,,,,,00h 20m 57.00s,−35° 59′ 53.8″,12,,,K2V,has a transiting planet (b)
SY Scl,,SY,,,00h 07m 36.25s,−25° 29′ 39.9″,12.15,,,M8:,"Mira variable, *V*max = 10.4m, *V*min = <14.6m, *P* = 411 d"
VY Scl,,VY,,,23h 29m 00.48s,−29° 46′ 45.9″,,,,O...,prototype VY Scl star
GD 659,,,,,00h 53m 17.44s,−32° 59′ 56.6″,13.36,,,DA1.4,white dwarf
BX Scl,,BX,,,23h 43m 54.45s,−28° 18′ 34.5″,13.56,,,A,"SX Phe variable, *V*max = 13.42m, *V*min = 13.71m, *P* = 0.037 d"
WD 0137-349,,,,,01h 39m 42.85s,−34° 42′ 39.3″,15.33,,,DA,"white dwarf, has a brown dwarf companion"
VZ Scl,,VZ,,,23h 50m 09.25s,−26° 22′ 52.7″,15.6,,,B9IVmn,"VY Scl variable and eclipsing binary, *V*max = 15.6m, *V*min = 18.4m, *P* = 
0.14 d"
BW Scl,,BW,,,23h 53m 00.86s,−38° 51′ 46.6″,16.2,,,CV,"WZ Sge variable and ZZ Cet variable, *V*max = 8.9m, *V*min = 17.2m, *P* = 
0.054 d"
"Table legend: 
[TABLE]",,,,,,,,,,,
